Group_code,x2,,x2.1,,x6,,x7,,x8,,x9,,x15,,x16,,x20,,x21,
Dataset_name,Artigas moraine Terrestrial Moss ages,,Shetland-I Terrestrial Moss ages,,Potter Peninsula - Terrestrial / Marine max. ages,,BIC Foreland Moraines max. ages,,KGI Advance max. ages,,KGI Retreat min. ages,,Fildes lakes: basal ages,,Fildes lakes: aquatic moss ages,,Kaplan et al. (2020): JRI Advance ages,,Kaplan et al. (2020): JRI Retreat ages,
n,13,,35,,29,,43,,80,,28,,10,,23,,31,,22,
numMix,10,,40,,30,,50,,80,,40,,15,,20,,30,,20,
Probability,0.95,,0.95,,0.95,,0.95,,0.95,,0.95,,0.95,,0.95,,0.95,,0.95,
Age_range,min_age_cal_ka_BP,max_age_cal_ka_BP,min_age_cal_ka_BP,max_age_cal_ka_BP,min_age_cal_ka_BP,max_age_cal_ka_BP,min_age_cal_ka_BP,max_age_cal_ka_BP,min_age_cal_ka_BP,max_age_cal_ka_BP,min_age_cal_ka_BP,max_age_cal_ka_BP,min_age_cal_ka_BP,max_age_cal_ka_BP,min_age_cal_ka_BP,max_age_cal_ka_BP,min_age_cal_ka_BP,max_age_cal_ka_BP,min_age_cal_ka_BP,max_age_cal_ka_BP
Phase 1 ,1.14,1.44,0.22,0.37,1.42,2.23,0.07,1.49,0.19,1.5,0.15,7,5.75,8.65,-0.01,0.97,0.05,0.53,2.73,4.25
Phase 2 ,1.69,2.05,0.42,0.89,6.99,8.23,1.67,2.24,1.68,2.47,1.12,2.03,9.21,10.02,1.03,1.53,1.18,2.17,4.37,5.93
Phase 3 ,NA,NA,0.92,1.38,9.29,10.06,2.59,3,2.51,2.98,4.9,8.6,10.39,11.11,1.88,2.44,2.61,3.07,7.17,11.05
Phase 4 ,NA,NA,1.67,2.2,NA,NA,3.13,3.49,3.3,3.87,9.44,10.1,NA,NA,3.33,3.83,3.22,5.91,11.46,12.26
Phase 5 ,NA,NA,2.59,3.06,NA,NA,5.27,6.32,4.52,4.75,NA,NA,NA,NA,4.28,5.25,6.16,7.73,NA,NA
Phase 6 ,NA,NA,3.19,3.58,NA,NA,6.54,6.8,5.26,5.6,NA,NA,NA,NA,5.4,5.94,7.83,8.46,NA,NA
Phase 7 ,NA,NA,NA,NA,NA,NA,NA,NA,5.64,6.31,NA,NA,NA,NA,6.17,6.66,NA,NA,NA,NA
Phase 8,NA,NA,NA,NA,NA,NA,NA,NA,6.42,6.63,NA,NA,NA,NA,6.94,7.41,NA,NA,NA,NA
Phase 9,NA,NA,NA,NA,NA,NA,NA,NA,7.31,8.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phase 10,NA,NA,NA,NA,NA,NA,NA,NA,9.54,9.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Probability,0.68,,0.68,,0.68,,0.68,,0.68,,0.68,,0.68,,0.68,,0.68,,0.68,
Phase 1 ,1.79,1.98,0.56,0.65,7.28,7.83,0.51,0.78,0.63,0.72,1.31,1.77,5.87,7.22,-0.01,0.15,0.05,0.36,2.95,3.61
Phase 2 ,NA,NA,1.1,1.34,NA,NA,1.13,1.43,1.2,1.44,2.37,2.98,7.92,8.45,0.26,0.34,1.41,1.93,5.09,5.57
Phase 3 ,NA,NA,1.76,2.16,NA,NA,1.73,2.09,1.74,2.2,3.41,3.5,10.64,10.78,0.64,0.88,3.44,5.05,7.46,8.59
Phase 4 ,NA,NA,2.64,2.85,NA,NA,2.66,2.9,2.95,2.91,5.05,5.66,NA,NA,1.13,1.4,6.87,7.41,9.3,10.27
Phase 5 ,NA,NA,NA,NA,NA,NA,3.32,3.38,6.09,6.21,5.96,7.51,NA,NA,2.04,2.28,NA,NA,NA,NA
Phase 6 ,NA,NA,NA,NA,NA,NA,5.35,5.46,7.36,7.91,7.93,8.09,NA,NA,3.5,3.61,NA,NA,NA,NA
Phase 7 ,NA,NA,NA,NA,NA,NA,6.05,6.22,NA,NA,NA,NA,NA,NA,4.37,4.66,NA,NA,NA,NA
Phase 8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79,5.09,NA,NA,NA,NA
Phase 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55,5.85,NA,NA,NA,NA
Phase 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21,7.27,NA,NA,NA,NA