Core_Section,Section_depth,Field_depth,Depth,min_calibrated_age,max_calibrated_age,median_calibrated_age,mean_calibrated_age,acc_rate,water_pc,dry_mass,LOI_550C,wet_density,dry_density,DMAR,clay,very_fine_silt,fine_silt,medium_silt,coarse_silt,very_fine_sand,fine_sand,medium_sand,coarse_sand,very_coarse_sand,Clay,Silt,Sand,SUM,SAMPLE_TYPE ,TEXTURAL_GROUP ,SEDIMENT_NAME ,MEAN,SORTING,SKEWNESS,KURTOSIS, GRAVEL, SAND, MUD, V COARSE GRAVEL, COARSE GRAVEL, MEDIUM GRAVEL, FINE GRAVEL, V FINE GRAVEL, V COARSE SAND, COARSE SAND, MEDIUM SAND, FINE SAND, V FINE SAND, V COARSE SILT, COARSE SILT, MEDIUM SILT, FINE SILT, V FINE SILT, CLAY,SUM,Clay_0-2um,Silt_2-63um,Sand_63-2000um,MEAN,SORTING,SKEWNESS,KURTOSIS,MEAN,SORTING,SKEWNESS,KURTOSIS,MEAN,SORTING,SKEWNESS,KURTOSIS,MEAN,SORTING,SKEWNESS,KURTOSIS,MEAN,SORTING,SKEWNESS,KURTOSIS,MODE_1_um:,MODE_2_um:,MODE_3_um:,MODE_1_f:,MODE_2_f:,MODE_3_f:,D10_um:,D50_um:,D90_um:,D90_/_D10_mm:,D90_D10_mm:,D75/D25_mm:,D75_D25_mm:,D10_f:,D50_f:,D90_f:,D90/D10_f:,D90_D10_f:,D75/D25_f:,D75-D25_f:
KITE_2.1,14,14,19,882.55,1426.6,1109.42,1121.24,0.021,38.15,61.85,2.67,1.707,1.056,0.022,4.03,3.59,6.4,10.55,21.75,17.84,12.22,5.58,10.55,7.48,4.03,42.29,46.19,100,"Bimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Very Poorly Sorted,Symmetrical,Leptokurtic,0,61.1,38.9,0,0,0,0,0,8.13,9.69,6.41,14.7,22.16,16.62,9.63,5.85,3.23,1.89,1.7,100,1.7,37.21,61.1,102.39,5.23,0.05,1.18,3.29,2.39,-0.05,1.18,256.07,391.59,2.18,7.13,87.59,4.99,-0.31,3.1,3.47,2.29,0.27,3.03,84.48,947.87,NA,3.57,0.08,NA,11.91,88.38,888.03,74.56,876.12,6.55,200.13,0.17,3.5,6.39,37.31,6.22,2.3,2.71
KITE_2.1,14.5,14.5,19.5,893.41,1471.7,1133.58,1145.32,0.022,38.48,61.52,4.84,1.707,1.05,0.023,5.2,5.14,8.83,13.83,28.73,21.62,13.52,2.92,0.2,0,5.2,56.54,38.26,100,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Coarse Silt,Poorly Sorted,Fine Skewed,Leptokurtic,0,51.98,48.02,0,0,0,0,0,2.76,1.5,5.94,16.29,25.49,20.35,11.79,7.51,4.21,2.22,1.94,100,1.94,46.08,51.98,57.49,3.65,-0.17,1.18,4.12,1.87,0.17,1.18,131.65,245.07,4.64,27.07,56.26,3.94,-0.46,3.81,4.13,1.97,0.42,3.78,84.48,NA,NA,3.57,NA,NA,9.37,65.95,253.43,27.04,244.06,4.77,103.56,1.98,3.92,6.74,3.4,4.76,1.77,2.25
KITE_2.1,15,15,20,918.66,1486.85,1155.95,1168.52,0.022,42.49,57.51,4.74,1.445,0.831,0.018,5.72,5.81,10.58,17.2,31.18,19.14,8.89,1.43,0.04,0,5.72,64.78,29.51,100,"Unimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,Very Coarse Silt,Poorly Sorted,Fine Skewed,Leptokurtic,0,41.5,58.5,0,0,0,0,0,1.64,1.53,2.14,11,25.18,24.36,15.11,9.29,4.93,2.47,2.35,100,2.35,56.15,41.5,43.49,3.33,-0.2,1.15,4.52,1.74,0.2,1.15,96.65,195.41,5.57,38.63,42.97,3.67,-0.41,4.01,4.53,1.88,0.39,4.01,67.11,NA,NA,3.9,NA,NA,8.01,50.39,166.18,20.75,158.17,4.45,73.89,2.59,4.31,6.96,2.69,4.37,1.64,2.15
KITE_2.1,15.5,15.5,20.5,936.54,1500.57,1179.73,1191.5,0.022,38.07,61.93,3.41,1.445,0.895,0.019,7.94,8.08,12.71,17.65,25.86,15.75,10.8,1.21,0,0,7.94,64.3,27.76,100,"Unimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,Very Coarse Silt,Poorly Sorted,Fine Skewed,Mesokurtic,0,35.55,64.45,0,0,0,0,0,0,0,2.35,12.65,20.56,21.82,16.65,11.91,7.18,3.56,3.33,100,3.33,61.12,35.55,35.02,3.66,-0.2,0.99,4.84,1.87,0.2,0.99,62.65,65.43,1.68,5.85,33.15,3.67,-0.67,3.15,4.91,1.87,0.67,3.15,59.81,NA,NA,4.07,NA,NA,5.59,40.05,155.36,27.79,149.77,5.86,72.27,2.69,4.64,7.48,2.79,4.8,1.72,2.55
KITE_2.1,16,16,21,961.51,1520.44,1201.28,1214.47,0.022,35.37,64.63,4.25,1.816,1.173,0.026,3.92,3.72,6.41,10.66,20.42,17.44,18.68,14.5,4.24,0,3.92,41.22,54.87,100,"Unimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Mesokurtic,0,64.01,35.99,0,0,0,0,0,0.71,9.18,16.27,18.23,19.61,15.01,9.15,5.51,3.12,1.69,1.52,100,1.52,34.47,64.01,95.94,4.12,-0.14,1,3.38,2.04,0.14,1,188.28,216.23,1.93,7.54,88.83,4.17,-0.7,3.38,3.49,2.06,0.7,3.38,106.36,NA,NA,3.24,NA,NA,12.86,102.99,497.61,38.71,484.76,6.75,223.48,1.01,3.28,6.28,6.24,5.27,2.43,2.76
KITE_2.1,17,17,22,993.87,1576.35,1250.48,1260.42,0.024,37.42,62.58,4.48,1.522,0.952,0.023,2.63,2.39,4.61,8.34,18.46,19.04,22.34,17.07,5.1,0.02,2.63,33.81,63.55,100,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Fine Sand,Very Fine Sand,Poorly Sorted,Fine Skewed,Mesokurtic,0,70.32,29.68,0,0,0,0,0,0.1,7.29,18.48,22.93,21.52,13.66,7.49,4.11,2.11,1.19,1.13,100,1.13,28.55,70.32,109.74,3.44,-0.19,1.06,3.19,1.78,0.19,1.06,183.1,181.31,1.59,5.55,101.3,3.6,-0.94,4.12,3.3,1.85,0.94,4.12,133.89,NA,NA,2.9,NA,NA,18.54,120.71,444.13,23.96,425.59,5,205.87,1.17,3.05,5.75,4.91,4.58,2.19,2.32
KITE_2.1,19,19,24,1070.87,1650.72,1335.26,1344.49,0.024,36.81,63.19,4.24,1.416,0.895,0.022,2.76,2.56,5.09,9.99,23.34,21.94,21.13,11.22,1.96,0,2.76,40.99,56.25,100,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,0,65.91,34.09,0,0,0,0,0,0.94,5.65,12.83,21.66,24.83,16.72,8.51,4.35,2.17,1.21,1.13,100,1.13,32.96,65.91,93.66,3.36,-0.11,1.14,3.42,1.75,0.11,1.14,165.22,196.89,2.69,12.62,87.91,3.53,-0.75,4.1,3.51,1.82,0.75,4.1,106.36,NA,NA,3.24,NA,NA,17.71,98.41,398.88,22.52,381.17,4.48,157.32,1.33,3.35,5.82,4.39,4.49,1.94,2.16
KITE_2.1,21,21,26,1143.65,1734.44,1421.32,1426.62,0.023,NA,NA,NA,NA,NA,NA,2.84,2.39,4.61,8.46,20.52,20.27,22.5,15.36,3.05,0,2.84,35.97,61.19,100,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Fine Sand,Fine Sand,Poorly Sorted,Fine Skewed,Mesokurtic,0,73.42,26.58,0,0,0,0,0,3.37,10.13,17.71,21.39,20.83,12.9,6.36,3.5,1.78,1.08,0.95,100,0.95,25.62,73.42,130.79,3.63,-0.11,1.07,2.93,1.86,0.11,1.07,240.52,288.07,2.42,10.19,120.46,3.84,-0.77,4,3.04,1.93,0.74,3.92,119.33,NA,NA,3.07,NA,NA,22.13,135.43,594.93,26.89,572.8,5.34,254.47,0.75,2.88,5.5,7.34,4.75,2.44,2.42
KITE_2.1,23,23,28,1241.86,1816.87,1512.09,1514.39,0.023,36.16,63.84,4.47,1.656,1.057,0.025,3.63,2.91,5.36,9.76,21.8,22.31,22.87,10.52,0.85,0,3.63,39.83,56.54,100,"Unimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,0,64.57,35.43,0,0,0,0,0,0,1.76,12.85,24.56,25.39,16.07,8.75,4.78,2.62,1.66,1.56,100,1.56,33.88,64.57,82.8,3.26,-0.25,1.14,3.59,1.71,0.25,1.14,131.02,122.21,1.59,5.84,76.4,3.46,-1.08,4.4,3.71,1.79,1.08,4.4,119.33,NA,NA,3.07,NA,NA,14.58,94.94,299.69,20.55,285.11,4.32,139.08,1.74,3.4,6.1,3.51,4.36,1.86,2.11
KITE_2.1,25,25,30,1348.49,1929.11,1596.41,1600.26,0.024,36.69,63.31,4.74,1.498,0.949,0.022,5.24,3.86,6.92,11.67,24.45,22.08,15.82,6.54,3.33,0.08,5.24,46.9,47.78,100,"Bimodal, Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic,0,56.64,43.36,0,0,0,0,0,0.24,4.28,7.12,18.64,26.37,18.35,10.61,6.24,3.47,2.27,2.43,100,2.43,40.94,56.64,64.29,3.74,-0.21,1.26,3.96,1.9,0.21,1.26,123.91,156.73,2.8,12.56,61.45,3.88,-0.8,3.9,4.02,1.96,0.8,3.9,94.79,533.03,NA,3.4,0.91,NA,10.02,75.19,281.61,28.09,271.59,4.64,113.75,1.83,3.73,6.64,3.63,4.81,1.79,2.21
KITE_2.1,26.5,26.5,31.5,1393.36,2026.26,1663.48,1664.04,0.019,NA,NA,NA,NA,NA,NA,4.91,4.74,8.96,14.87,28.97,18.3,6.29,3.19,9.62,0.15,4.91,57.54,37.4,100,"Bimodal, Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,Very Coarse Silt,Poorly Sorted,Symmetrical,Leptokurtic,0,45.32,54.68,0,0,0,0,0,0.59,8.43,1.44,9.21,25.64,23.66,13.93,8.37,4.27,2.23,2.23,100,2.23,52.45,45.32,48.95,3.82,-0.08,1.41,4.35,1.94,0.08,1.41,125.57,208,2.75,9.83,50.97,4.01,-0.26,3.66,4.29,2.01,0.26,3.66,67.11,671.05,NA,3.9,0.58,NA,8.96,55.57,418.72,46.73,409.77,4.36,81.24,1.26,4.17,6.8,5.42,5.55,1.65,2.12
KITE_2.1,27,27,32,1449.98,2055.98,1685.38,1690.97,0,42.61,57.39,4.73,1.293,0.742,0,4.85,3.76,6.56,11.31,19.82,15.9,15.7,9.59,7.26,5.23,4.85,41.46,48.46,100,"Bimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Very Poorly Sorted,Symmetrical,Leptokurtic,0,58.13,41.87,0,0,0,0,0,9.41,4.78,7.93,16.83,19.19,16.32,10.96,6.37,3.64,2.35,2.23,100,2.23,39.63,58.13,83.34,5.21,-0.02,1.2,3.58,2.38,0.02,1.2,246.86,408.05,2.38,7.81,78.44,5.23,-0.3,3.09,3.63,2.36,0.27,3.04,106.36,1338.9,NA,3.24,-0.42,NA,9.91,84.21,937.77,94.62,927.86,7.13,186.31,0.09,3.57,6.66,71.82,6.56,2.28,2.83
KITE_1.1,5,28.5,33.5,1449.98,2055.98,1685.38,1690.97,0.029,37.7,62.3,4.58,1.388,0.865,0.025,4.05,4.27,8.29,14.23,28.5,19.68,10.66,3.51,3.6,3.2,4.05,55.29,37.46,100,"Unimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Very Poorly Sorted,Symmetrical,Leptokurtic,0,57.12,42.88,0,0,0,0,0,4.84,6.98,8.39,14.54,22.38,18.57,11.23,6.68,3.31,1.57,1.52,100,1.52,41.35,57.12,80.37,4.43,0.02,1.18,3.64,2.15,-0.02,1.18,200.23,323.41,2.82,11.29,75.47,4.44,-0.28,3.3,3.7,2.14,0.25,3.25,75.29,NA,NA,3.73,NA,NA,11.91,77.5,593.09,49.79,581.18,5.82,155.73,0.75,3.69,6.39,8.48,5.64,2.05,2.54
KITE_1.1,7,29.5,35.5,1599.91,2202.35,1742.68,1758.98,0.007,38.8,61.2,3.92,1.533,0.938,0.006,10.6,8.47,13.57,19.18,28.2,12.66,3.2,2.11,1.98,0.02,10.6,69.43,19.95,100,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,Coarse Silt,Very Poorly Sorted,Fine Skewed,Leptokurtic,0,30.45,69.55,0,0,0,0,0,0.98,3.86,2.58,4.74,18.29,23.26,17.37,12.2,7.62,4.87,4.22,100,4.22,65.33,30.45,29.9,4.35,-0.11,1.26,5.06,2.12,0.11,1.26,89.26,187.99,4.44,26.58,30.97,4.34,-0.11,3.28,5.01,2.12,0.1,3.28,53.31,598.07,NA,4.23,0.74,NA,4.32,35.29,148.65,34.42,144.33,5.72,60.78,2.75,4.82,7.86,2.86,5.11,1.67,2.52
KITE_1.1,9,32.5,37.5,1854.08,2479.25,2053.08,2060.94,0.003,36.47,63.53,3.74,1.267,0.805,0.002,7.14,6.36,10.47,15.15,24.93,15.47,9.67,7.21,3.24,0.37,7.14,56.91,35.58,100,"Bimodal, Very Poorly Sorted",Sandy Mud,Very Fine Sandy Very Coarse Silt,Very Coarse Silt,Very Poorly Sorted,Symmetrical,Leptokurtic,0,45.9,54.1,0,0,0,0,0,2.37,5.75,7.19,10.71,19.88,19.5,13.68,9.35,5.53,3.18,2.85,100,2.85,51.25,45.9,52.55,4.81,-0.05,1.16,4.25,2.27,0.05,1.16,145.9,253.14,3.3,15.64,50.67,4.73,-0.24,3.01,4.29,2.24,0.23,3.01,67.11,475.06,NA,3.9,1.08,NA,6.66,54.78,419,62.94,412.34,6.64,111.3,1.25,4.19,7.23,5.76,5.98,1.93,2.73
KITE_1.1,11,34.5,39.5,2039.14,3293.97,2893.99,2803,0.004,37,63,5.06,1.357,0.855,0.004,7.18,5.79,9.19,13.52,24.84,19.19,12.4,4.78,3.02,0.08,7.18,53.34,39.4,100,"Bimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Coarse Silt,Very Poorly Sorted,Symmetrical,Leptokurtic,0,52.09,47.91,0,0,0,0,0,3.26,7.81,5.32,13.55,22.14,17.84,11.56,7.83,4.86,3.05,2.77,100,2.77,45.14,52.09,60.76,4.9,-0.09,1.23,4.04,2.29,0.09,1.23,172.2,286.61,2.87,11.81,59.58,4.87,-0.31,3.07,4.06,2.28,0.31,3.07,84.48,671.05,NA,3.57,0.58,NA,7.23,66.77,553.67,76.6,546.44,6.33,126.83,0.85,3.9,7.11,8.34,6.26,1.97,2.66
KITE_1.1,13,36.5,41.5,2849.39,3562.69,3323.46,3284.54,0.006,34.65,65.35,4.18,1.408,0.92,0.006,5.31,4.22,7.21,12.04,24.19,20.82,17.03,7.41,1.77,0,5.31,47.66,47.03,100,"Unimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Fine Sand,Very Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic,0,57.74,42.26,0,0,0,0,0,2.9,4.36,8.43,18.31,23.73,17.57,10.39,6.21,3.65,2.36,2.07,100,2.07,40.19,57.74,70.44,4.13,-0.14,1.24,3.83,2.05,0.14,1.24,162.65,262.31,3.57,17.76,67.83,4.26,-0.52,3.56,3.87,2.08,0.5,3.54,94.79,NA,NA,3.4,NA,NA,10.09,78.96,373.73,37.04,363.64,5.26,135.5,1.42,3.66,6.63,4.67,5.21,1.93,2.4
KITE_1.1,15,38.5,43.5,3372.84,3776.54,3595.9,3595.26,0.031,32.53,67.47,3.72,1.373,0.926,0.029,4.07,3.42,6.62,12.26,29.08,25.27,15.6,2.95,0.62,0.11,4.07,51.38,44.44,100,"Unimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Coarse Sand,Fine Sand,Very Poorly Sorted,Coarse Skewed,Very Platykurtic,0,64.08,35.92,0,0,0,0,0,27.87,0.45,2.19,11.47,22.1,17.12,8.76,4.72,2.43,1.43,1.46,100,1.46,34.46,64.08,155.18,5.9,0.17,0.55,2.69,2.56,-0.17,0.55,60.96,88.26,5.29,65.54,17.07,7.54,-0.41,1.62,3.1,2.4,0.28,2.7,84.48,NA,NA,3.57,NA,NA,15.55,95.74,8720.52,560.79,8704.97,44.15,1822.98,-3.12,3.38,6.01,-1.92,9.13,-5.08,5.46
KITE_1.1,17,40.5,45.5,3493.42,3860.39,3655.69,3659.36,0.012,NA,NA,NA,NA,NA,NA,3.93,3.29,5.63,9.55,19.31,20.08,20.91,11.04,5.11,1.15,3.93,37.78,57.14,100,"Unimodal, Very Poorly Sorted",Muddy Sand,Very Coarse Silty Very Coarse Sand,Fine Sand,Very Poorly Sorted,Symmetrical,Very Platykurtic,0,73.33,26.67,0,0,0,0,0,30.37,4.32,7.42,14.63,16.59,11.07,6.66,3.93,2.29,1.43,1.29,100,1.29,25.38,73.33,198.6,5.52,-0.04,0.59,2.33,2.46,0.04,0.59,124.3,222.24,3.52,18.57,22.33,10.09,-0.25,1.62,2.61,2.4,0.66,2.93,119.33,NA,NA,3.07,NA,NA,17.93,165.21,9654.32,538.45,9636.39,31.77,1766.8,-3.27,2.6,5.8,-1.77,9.07,-4.75,4.99