"Cluster groups: EPMA: RHY from EMPA_db - filtered, sqroot transformed, standardised an centred, ANT and Di removed (insufficient points n<5 to be valid) ",,,,,
Group 1,,,,,
[1],NAP-18_PC079/2/149-9_UK_Deception,NAP-15_PC079/2/149-6_UK_Deception,NAP-17_PC079/2/149-8_UK_Deception,NAP-185_PC029/1/76-2_UK_Deception,
[5],NAP-55_GC027/2/4-8_UK_Deception,NAP-56_GC027/2/4-9_UK_Deception,NAP-14_PC079/2/149-5_UK_Deception,NAP-156_KC081/1/4-6_UK_Deception,
[9],NAP-153_KC081/1/4-3_UK_Deception,NAP-154_KC081/1/4-4_UK_Deception,NAP-224_PC029/1/80-23_UK_Deception,NAP-155_KC081/1/4-5_UK_Deception,
[13],NAP-1104_L6_228_T4_Deception,NAP-1153_BP_L6-A_86_T3_Deception,NAP-225_PC029/1/80-24_UK_Deception,NAP-1103_L6_230_T4_Deception,
[17],NAP-1154_BP_L6-A_86_T3_Deception,NAP-1102_L6_210_T4_Deception,NAP-1152_BP_L6-A_86_T3_Deception,NAP-184_PC029/1/76-1_UK_Deception,
[21],NAP-10_PC079/2/149-1_UK_Deception,NAP-12_PC079/2/149-3_UK_Deception,NAP-151_KC081/1/4-1_UK_Deception,NAP-53_GC027/2/4-6_UK_Deception,
[25],NAP-54_GC027/2/4-7_UK_Deception,NAP-51_GC027/2/4-4_UK_Deception,NAP-52_GC027/2/4-5_UK_Deception,NAP-48_GC027/2/4-1_UK_Deception,
[29],NAP-83_GC037/1/82-3_UK_Deception,NAP-13_PC079/2/149-4_UK_Deception,NAP-152_KC081/1/4-2_UK_Deception,NAP-202_PC029/1/80-1_UK_Deception,
[33],NAP-49_GC027/2/4-2_UK_Deception,NAP-50_GC027/2/4-3_UK_Deception,NAP-105_GC114/3/98-1_UK_Deception,NAP-11_PC079/2/149-2_UK_Deception,
[37],NAP-223_PC029/1/80-22_UK_Deception,K33-1_RH0831_UK_UK,NAP-186_PC029/1/76-3_UK_Deception,NAP-226_PC029/1/80-25_UK_Deception,
[41],K58-11_RH0832_UK_UK,NAP-410_YAN8B-1_41-41.5-14_T7b_Deception,K58-9_RH0832_UK_UK,NAP-444_PC460_73.5-74-22_T7a_Deception,
[45],K58-1_RH0832_UK_UK,K58-5_RH0832_UK_UK,K58-4_RH0832_UK_UK,K58-15_RH0832_UK_UK,
[49],NAP-16_PC079/2/149-7_UK_Deception,NAP-470_Beak1D_70.5-71-23_T10_Deception,K33-22_RH0831_UK_UK,K58-2_RH0832_UK_UK,
[53],K58-3_RH0832_UK_UK,K33-9_RH0831_UK_UK,K58-10_RH0832_UK_UK,NAP-472_Beak1D_70.5-71-25_T10_Deception,
[57],NAP-465_Beak1D_70.5-71-18_T10_Deception,NAP-458_Beak1D_70.5-71-11_T10_Deception,K58-7_RH0832_UK_UK,NAP-416_YAN8B-1_41-41.5-20_T7b_Deception,
[61],NAP-448_Beak1D_70.5-71-1_T10_Deception,NAP-421_YAN8B-1_41-41.5-25_T7b_Deception,K58-12_RH0832_UK_UK,K58-13_RH0832_UK_UK,
[65],NAP-82_GC037/1/82-2_UK_Deception,NAP-87_GC037/1/82-7_UK_Deception,NAP-85_GC037/1/82-5_UK_Deception,NAP-81_GC037/1/82-1_UK_Deception,
[69],NAP-88_GC037/1/82-8_UK_Deception,,,,
,,,,,
Group 2,,,,,
[1],SAM-252_POLP1_90-94.5-14_UK_Solipuli,SAM-797_H2-Q_60-85_5_H2_Hudson,SAM-796_H2-Q_60-85_1_H2_Hudson,SAM-250_POLP1_90-94.5-12_UK_Solipuli,
[5],SAM-800_H2-Q_60-85_13_H2_Hudson,SAM-812_H2-E_0-30_11_H2_Hudson,SAM-175_POLP1_80-85-6_UK_Solipuli,SAM-260_POLP1_90-94.5-22_UK_Solipuli,
[9],SAM-806_H2-Q_60-85_28_H2_Hudson,SAM-196_POLP1_80-85-27_UK_Solipuli,SAM-255_POLP1_90-94.5-17_UK_Solipuli,SAM-189_POLP1_80-85-20_UK_Solipuli,
[13],SAM-258_POLP1_90-94.5-20_UK_Solipuli,SAM-801_H2-Q_60-85_14_H2_Hudson,SAM-818_H2-E_0-30_20_H2_Hudson,SAM-820_AVZ3-H2Q-60-85_4_H2_Hudson,
[17],SAM-821_AVZ3-H2Q-60-85_5_H2_Hudson,SAM-262_POLP1_90-94.5-24_UK_Solipuli,SAM-803_H2-Q_60-85_20_H2_Hudson,SAM-814_H2-E_0-30_16_H2_Hudson,
[21],SAM-180_POLP1_80-85-11_UK_Solipuli,SAM-256_POLP1_90-94.5-18_UK_Solipuli,SAM-802_H2-Q_60-85_18_H2_Hudson,SAM-816_H2-E_0-30_18_H2_Hudson,
[25],SAM-251_POLP1_90-94.5-13_UK_Solipuli,SAM-810_H2-E_0-30_7_H2_Hudson,SAM-176_POLP1_80-85-7_UK_Solipuli,SAM-809_H2-E_0-30_6_H2_Hudson,
[29],SAM-89_POR1_11-15-1_UK_Solipuli,SAM-823_AVZ3-H2Q-60-85_7_H2_Hudson,NAP-415_YAN8B-1_41-41.5-19_T7b_Deception,NAP-406_YAN8B-1_41-41.5-10_T7b_Deception,
[33],NAP-412_YAN8B-1_41-41.5-16_T7b_Deception,NAP-414_YAN8B-1_41-41.5-18_T7b_Deception,NAP-57_GC027/2/4-10_UK_Deception,K58-8_RH0832_UK_UK,
[37],NAP-60_GC027/2/4-13_UK_Deception,NAP-58_GC027/2/4-11_UK_Deception,NAP-157_KC081/1/4-7_UK_Deception,NAP-158_KC081/1/4-8_UK_Deception,
[41],NAP-187_PC029/1/76-4_UK_Deception,NAP-227_PC029/1/80-26_UK_Deception,NAP-205_PC029/1/80-4_UK_Deception,NAP-89_GC037/1/82-9_UK_Deception,
[45],NAP-84_GC037/1/82-4_UK_Deception,NAP-86_GC037/1/82-6_UK_Deception,K33-25_RH0831_UK_UK,K58-14_RH0832_UK_UK,
[49],K58-16_RH0832_UK_UK,NAP-463_Beak1D_70.5-71-16_T10_Deception,NAP-399_YAN8B-1_41-41.5-3_T7b_Deception,K58-6_RH0832_UK_UK,
,,,,,
Group 3,,,,,
[1],SAM-355_COFL2_65-70-5_UK_Solipuli,SAM-353_COFL2_65-70-3_UK_Solipuli,SAM-351_COFL2_65-70-1_UK_Solipuli,SAM-356_COFL2_65-70-6_UK_Solipuli,
[5],SAM-365_COFL2_65-70-15_UK_Solipuli,SAM-375_COFR3_10-15-5_UK_Solipuli,SAM-358_COFL2_65-70-8_UK_Solipuli,SAM-241_POLP1_90-94.5-3_UK_Solipuli,
[9],SAM-387_COFR3_35-40-8_UK_Solipuli,SAM-242_POLP1_90-94.5-4_UK_Solipuli,SAM-368_COFL2_65-70-18_UK_Solipuli,SAM-379_COFR3_10-15-9_UK_Solipuli,
[13],SAM-364_COFL2_65-70-14_UK_Solipuli,SAM-377_COFR3_10-15-7_UK_Solipuli,,,
,,,,,
Group 4,,,,,
[1],SAM-102_POR1_11-15-14_UK_Solipuli,SAM-953_ROH-2B-5_MB1_Burney,SAM-564_LF168-8_H2_Hudson,SAM-876_AR-1B-4_MBX_Burney,SAM-923_EO-2D-1_MB1_Burney
[6],SAM-960_ROH-2B-12_MB1_Burney,SAM-908_EO-1C-3_MB2_Burney,SAM-926_EO-2D-8_MB1_Burney,SAM-909_EO-1C-4_MB2_Burney,SAM-913_EO-1C-8_MB2_Burney
,,,,,
Group 5,,,,,
[1],SAM-919_EO-1C-14_MB2_Burney,SAM-1020_LA-1B-12_R2_Reclus,SAM-1003_EO-2B-6_R1_Reclus,SAM-1019_LA-1B-11_R2_Reclus,
[5],SAM-423_CB1011-23_R1_Reclus,SAM-1005_EO-2B-8_R1_Reclus,SAM-1031_LA-1B-23_R2_Reclus,SAM-1009_LA-1B-1_R2_Reclus,
[9],SAM-1012_LA-1B-4_R2_Reclus,SAM-1023_LA-1B-15_R2_Reclus,SAM-1028_LA-1B-20_R2_Reclus,SAM-1018_LA-1B-10_R2_Reclus,
[13],SAM-1025_LA-1B-17_R2_Reclus,SAM-1011_LA-1B-3_R2_Reclus,SAM-1014_LA-1B-6_R2_Reclus,SAM-1016_LA-1B-8_R2_Reclus,
[17],SAM-1022_LA-1B-14_R2_Reclus,SAM-654_PZ1_R1-RioTurbo_23_R1_Reclus,SAM-647_PZ1_R1-RioTurbo_13_R1_Reclus,SAM-652_PZ1_R1-RioTurbo_21_R1_Reclus,
[21],SAM-656_PZ1_R1-RioTurbo_25_R1_Reclus,SAM-657_PZ1_R1-RioTurbo_27_R1_Reclus,SAM-660_PZ1_R1-RioTurbo_31_R1_Reclus,SAM-673_PZ1_R1-90_06_26_R1_Reclus,
[25],SAM-651_PZ1_R1-RioTurbo_20_R1_Reclus,SAM-655_PZ1_R1-RioTurbo_24_R1_Reclus,SAM-659_PZ1_R1-RioTurbo_30_R1_Reclus,SAM-677_PZ1_R1-90_06_30_R1_Reclus,
[29],SAM-653_PZ1_R1-RioTurbo_22_R1_Reclus,SAM-666_PZ1_R1-90_06_11_R1_Reclus,SAM-658_PZ1_R1-RioTurbo_29_R1_Reclus,SAM-664_PZ1_R1-90_06_4_R1_Reclus,
[33],SAM-422_CB1011-22_R1_Reclus,SAM-401_CB1011-1_R1_Reclus,SAM-418_CB1011-18_R1_Reclus,SAM-420_CB1011-20_R1_Reclus,
[37],SAM-415_CB1011-15_R1_Reclus,SAM-416_CB1011-16_R1_Reclus,SAM-404_CB1011-4_R1_Reclus,SAM-414_CB1011-14_R1_Reclus,
[41],SAM-411_CB1011-11_R1_Reclus,SAM-417_CB1011-17_R1_Reclus,SAM-650_PZ1_R1-RioTurbo_19_R1_Reclus,SAM-410_CB1011-10_R1_Reclus,
[45],SAM-678_PZ1_R1-90_06_31_R1_Reclus,SAM-644_PZ1_R1-RioTurbo_4_R1_Reclus,SAM-668_PZ1_R1-90_06_18_R1_Reclus,SAM-661_PZ1_R1-RioTurbo_32_R1_Reclus,
[49],SAM-676_PZ1_R1-90_06_29_R1_Reclus,SAM-430_PY-931-6_R1_Reclus,SAM-435_LL-905-1_R1_Reclus,SAM-436_LL-905-2_R1_Reclus,
[53],SAM-432_PY-931-8_R1_Reclus,SAM-440_LL-905-6_R1_Reclus,SAM-408_CB1011-8_R1_Reclus,SAM-428_PY-931-4_R1_Reclus,
[57],SAM-439_LL-905-5_R1_Reclus,SAM-429_PY-931-5_R1_Reclus,SAM-431_PY-931-7_R1_Reclus,SAM-412_CB1011-12_R1_Reclus,
[61],SAM-433_PY-931-9_R1_Reclus,SAM-403_CB1011-3_R1_Reclus,SAM-405_CB1011-5_R1_Reclus,SAM-413_CB1011-13_R1_Reclus,
[65],SAM-427_PY-931-3_R1_Reclus,SAM-437_LL-905-3_R1_Reclus,SAM-442_LL-905-8_R1_Reclus,SAM-443_LL-905-9_R1_Reclus,
[69],SAM-434_PY-931-10_R1_Reclus,SAM-444_LL-905-10_R1_Reclus,SAM-1026_LA-1B-18_R2_Reclus,SAM-1029_LA-1B-21_R2_Reclus,
[73],SAM-1013_LA-1B-5_R2_Reclus,SAM-1024_LA-1B-16_R2_Reclus,SAM-407_CB1011-7_R1_Reclus,SAM-424_CB1011-24_R1_Reclus,
[77],SAM-425_PY-931-1_R1_Reclus,SAM-670_PZ1_R1-90_06_20_R1_Reclus,SAM-402_CB1011-2_R1_Reclus,SAM-419_CB1011-19_R1_Reclus,
[81],SAM-406_CB1011-6_R1_Reclus,SAM-426_PY-931-2_R1_Reclus,SAM-1002_EO-2B-5_R1_Reclus,SAM-1008_EO-2B-11_R1_Reclus,
[85],SAM-409_CB1011-9_R1_Reclus,SAM-441_LL-905-7_R1_Reclus,SAM-421_CB1011-21_R1_Reclus,SAM-438_LL-905-4_R1_Reclus,
[89],SAM-386_COFR3_35-40-7_UK_Solipuli,SAM-954_ROH-2B-6_MB1_Burney,SAM-995_RTB-2B-5_R1_Reclus,SAM-992_RTB-2B-2_R1_Reclus,
[93],SAM-991_RTB-2B-1_R1_Reclus,SAM-1004_EO-2B-7_R1_Reclus,SAM-996_RTB-2B-6_R1_Reclus,SAM-1000_EO-2B-3_R1_Reclus,
[97],SAM-997_RTB-2B-7_R1_Reclus,SAM-998_EO-2B-1_R1_Reclus,SAM-993_RTB-2B-3_R1_Reclus,SAM-994_RTB-2B-4_R1_Reclus,
[101],SAM-1007_EO-2B-10_R1_Reclus,SAM-1001_EO-2B-4_R1_Reclus,SAM-999_EO-2B-2_R1_Reclus,SAM-1017_LA-1B-9_R2_Reclus,
[105],SAM-1030_LA-1B-22_R2_Reclus,,,,
,,,,,
Group 6,,,,,
[1],SAM-145_POR4_48-53-4_UK_Solipuli,SAM-719_PZ2_MB1-TOM_GOLD_14_MB1_Burney,SAM-729_PZ2_MB1-TOM_GOLD_27_MB1_Burney,SAM-721_PZ2_MB1-TOM_GOLD_16_MB1_Burney,
[5],SAM-731_PZ2_MB1-TOM_GOLD_30_MB1_Burney,SAM-717_PZ2_MB1-TOM_GOLD_11_MB1_Burney,SAM-722_PZ2_MB1-TOM_GOLD_18_MB1_Burney,SAM-929_EO-2L-1_MB2_Burney,
[9],SAM-987_RTB-1B-12_MB1910?_Burney,SAM-940_PA-1B-1_MB2_Burney,SAM-949_PA-1B-10_MB2_Burney,SAM-950_PA-1B-11_MB2_Burney,
[13],SAM-985_RTB-1B-10_MB1910?_Burney,SAM-707_PZ2_MB1-93_21W_29_MB1_Burney,SAM-698_PZ2_MB1-93_21W_13_MB1_Burney,SAM-740_MB2_90-07_2_MB2_Burney,
[17],SAM-475_LL590-1_MB2_Burney,SAM-483_LL590-9_MB2_Burney,SAM-691_PZ2_MB1-BF_370_10_MB1_Burney,SAM-702_PZ2_MB1-93_21W_22_MB1_Burney,
[21],SAM-726_PZ2_MB1-TOM_GOLD_23_MB1_Burney,SAM-474_CE236-12_MB2_Burney,SAM-693_PZ2_MB1-93_21W_2_MB1_Burney,SAM-697_PZ2_MB1-93_21W_10_MB1_Burney,
[25],SAM-706_PZ2_MB1-93_21W_27_MB1_Burney,SAM-704_PZ2_MB1-93_21W_24_MB1_Burney,SAM-732_PZ1_MB2-90_16_5_MB2_Burney,SAM-705_PZ2_MB1-93_21W_25_MB1_Burney,
[29],SAM-720_PZ2_MB1-TOM_GOLD_15_MB1_Burney,SAM-727_PZ2_MB1-TOM_GOLD_25_MB1_Burney,SAM-730_PZ2_MB1-TOM_GOLD_29_MB1_Burney,SAM-694_PZ2_MB1-93_21W_4_MB1_Burney,
[33],SAM-736_PZ1_MB2-90_16_14_MB2_Burney,SAM-927_EO-2D-9_MB1_Burney,SAM-687_PZ2_MB1-BF_370_4_MB1_Burney,SAM-109_POR1_11-15-21_UK_Solipuli,
[37],SAM-695_PZ2_MB1-93_21W_6_MB1_Burney,SAM-715_PZ2_MB1-TOM_GOLD_8_MB1_Burney,SAM-915_EO-1C-10_MB2_Burney,SAM-916_EO-1C-11_MB2_Burney,
[41],SAM-700_PZ2_MB1-93_21W_18_MB1_Burney,SAM-914_EO-1C-9_MB2_Burney,SAM-917_EO-1C-12_MB2_Burney,SAM-9_MB2-4_MB2_Burney,
[45],SAM-712_PZ2_MB1-TOM_GOLD_4_MB1_Burney,SAM-101_POR1_11-15-13_UK_Solipuli,SAM-104_POR1_11-15-16_UK_Solipuli,SAM-373_COFR3_10-15-3_UK_Solipuli,
[49],SAM-52_So-A-42_So_UK_Solipuli,SAM-91_POR1_11-15-3_UK_Solipuli,SAM-155_POR4_48-53-14_UK_Solipuli,SAM-10_MB2-5_MB2_Burney,
