labID,"		age","	error","	depth",cc,dR,dSTD,t.a,t.b
Living moss,-56,1,0,0,0,0,3,4
YANSC:1.5-3,-7.1,50,1.5,0,0,0,3,4
YAN8A-1:5-5.5,907,37,5.25,3,0,0,3,4
YAN8A-1:9.5-10,1430,30,9.75,3,0,0,3,4
YAN8A-1:14-15,2540,40,14.5,3,0,0,3,4
YAN8A-1:20-20.5,3370,30,20.25,3,0,0,3,4
YAN8A-1:24-25,3790,40,24.5,3,0,0,3,4
YAN8A-1:31-31.5,4170,30,31.25,3,0,0,3,4
YAN8A-1:32-32.5,4273,37,32.25,3,0,0,3,4
YAN9B-1:37.5-38,4847,37,190.75,3,0,0,3,4
YAN9B-1:48-49,5051,38,201.5,3,0,0,3,4
YAN8B-1:29-30,7326,37,247.5,2,666,76,3,4
YAN8B-1:42-43,7155,38,260.5,2,666,76,3,4
YAN8B-1:82-83,8500,70,300.5,2,666,76,3,4
YAN8B-2:24-25,11570,70,342.5,2,666,76,3,4
YAN8B-2:32-33,10630,70,350.5,2,666,76,3,4